id,platform,kind,source_page,source_asset_url,download_url,path,title,width,height,format,bytes,sha256,retrieved,modifications,recommended_for_initial_site,public_use_status,review_flags,placement_guidance
apple-icon,iOS,app-icon,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/dd/61/b4/dd61b45b-6f35-6d21-d076-4c6d38f26805/DICOM-0-0-1x_U007emarketing-0-0-0-11-0-0-85-220.png/512x512bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/dd/61/b4/dd61b45b-6f35-6d21-d076-4c6d38f26805/DICOM-0-0-1x_U007emarketing-0-0-0-11-0-0-85-220.png/512x512bb.jpg,assets/apple/dicom-camera-app-icon.jpg,DICOM Camera app icon,512,512,JPEG,29555,630429dad58418ab4d27fe025e867d76de3665e2c15f6e9e8cc96bd5c295ac7c,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,True,usable-with-guide,,See recommended placement and text alternatives in ASSETS.md
iphone-01,iPhone,screenshot,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/e1/82/8a/e1828ab3-6f9a-2786-aba5-54201d3e32ea/Apple_iPhone_11_Pro_Home_Screen_6.9.png/320x480bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/e1/82/8a/e1828ab3-6f9a-2786-aba5-54201d3e32ea/Apple_iPhone_11_Pro_Home_Screen_6.9.png/1200x2600bb.png,assets/apple/iphone-01-home.png,Home,1197,2600,PNG,447562,50bf78215173bdfd6c5326feb91196dc9dc43308dc1cab0974464c36d3fd9eee,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,True,usable-with-guide,Promotional composition includes existing device frame and headline; inspect before crop or placement | Crop legacy diagnostic promotional headline without altering actual UI | Earlier UI label Quick Photos; do not silently alter to Quick Take,See recommended placement and text alternatives in ASSETS.md
iphone-02,iPhone,screenshot,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/74/24/c0/7424c02b-3356-b132-9d79-719c14957eeb/Apple_iPhone_11_Pro_Detailed_View_copy.png/320x480bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/74/24/c0/7424c02b-3356-b132-9d79-719c14957eeb/Apple_iPhone_11_Pro_Detailed_View_copy.png/1200x2600bb.png,assets/apple/iphone-02-study-details.png,Study Details,1197,2600,PNG,1101742,579d89dbc85971e60b2b999531ae74951182f368039dbd6e9edd4238c2d74c20,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,review-required,Promotional composition includes existing device frame and headline; inspect before crop or placement | Apparent patient/study identifiers and/or clinical imagery; reference-only pending specific clearance,See review flags and selection guidance in ASSETS.md
iphone-03,iPhone,screenshot,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/f4/5b/5e/f45b5ede-8dad-53fa-ccdf-e7fa79efa911/Apple_iPhone_11_Pro_New_Patient_Data_copy.png/320x480bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/f4/5b/5e/f45b5ede-8dad-53fa-ccdf-e7fa79efa911/Apple_iPhone_11_Pro_New_Patient_Data_copy.png/1200x2600bb.png,assets/apple/iphone-03-patient-entry.png,Patient Entry,1197,2600,PNG,1009371,65b71a974692ab50ceaf0f0d8c52994eb44187377b02b2ac9d19cfb1efb2a8af,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,review-required,Promotional composition includes existing device frame and headline; inspect before crop or placement | Apparent patient/study identifiers and/or clinical imagery; reference-only pending specific clearance,See review flags and selection guidance in ASSETS.md
iphone-04,iPhone,screenshot,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/22/d8/0e/22d80eb9-72b2-6e6e-88c9-f39215fc4e28/Apple_iPhone_11_Pro_Max_Gallery_with_Video.png/320x480bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/22/d8/0e/22d80eb9-72b2-6e6e-88c9-f39215fc4e28/Apple_iPhone_11_Pro_Max_Gallery_with_Video.png/1200x2600bb.png,assets/apple/iphone-04-gallery-video.png,Gallery Video,1197,2600,PNG,2801025,3006b8bb7e8abb7837848fee810dee8e48c85f9552c0fae247ee61245aebbe9f,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,review-required,Promotional composition includes existing device frame and headline; inspect before crop or placement | Clinical imagery; reference-only pending clearance,See review flags and selection guidance in ASSETS.md
iphone-05,iPhone,screenshot,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/6d/03/7d/6d037dfa-1c43-c7ca-aec6-a6d4f5bf5e32/Apple_iPhone_11_Pro_Upload_copy.png/320x480bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/6d/03/7d/6d037dfa-1c43-c7ca-aec6-a6d4f5bf5e32/Apple_iPhone_11_Pro_Upload_copy.png/1200x2600bb.png,assets/apple/iphone-05-upload.png,Upload,1197,2600,PNG,595939,c797dd747d43480f022005dfc4b0f869c380ac6867b9ea15e48fb1306b1b96b9,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,review-required,Promotional composition includes existing device frame and headline; inspect before crop or placement | Apparent patient/study identifiers and/or clinical imagery; reference-only pending specific clearance,See review flags and selection guidance in ASSETS.md
iphone-06,iPhone,screenshot,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/5d/3a/5e/5d3a5ea2-4acf-da3c-029d-5a0b0c9e309b/Apple_iPhone_11_Pro_Body_Part_Back_copy.png/320x480bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/5d/3a/5e/5d3a5ea2-4acf-da3c-029d-5a0b0c9e309b/Apple_iPhone_11_Pro_Body_Part_Back_copy.png/1200x2600bb.png,assets/apple/iphone-06-body-part.png,Body Part,1197,2600,PNG,524397,3a68eba9a97b70a02d3b56d34f3c874b980c6952814626117d5f59b5848cd8bf,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,True,usable-with-guide,Promotional composition includes existing device frame and headline; inspect before crop or placement,See recommended placement and text alternatives in ASSETS.md
iphone-07,iPhone,screenshot,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/39/22/25/39222587-73c4-1dd9-863d-04f1008edf88/Apple_iPhone_11_Pro_Study_Gallery_copy.png/320x480bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/39/22/25/39222587-73c4-1dd9-863d-04f1008edf88/Apple_iPhone_11_Pro_Study_Gallery_copy.png/1200x2600bb.png,assets/apple/iphone-07-study-gallery.png,Study Gallery,1197,2600,PNG,1316076,7059915d3970a5ed0905257bb492ca0f2add9436fa20ad05e5fb37f9600bba43,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,review-required,Promotional composition includes existing device frame and headline; inspect before crop or placement | Apparent patient/study identifiers and/or clinical imagery; reference-only pending specific clearance,See review flags and selection guidance in ASSETS.md
iphone-08,iPhone,screenshot,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/02/c2/26/02c22667-95a5-0041-a20e-870cc6f21afa/Apple_iPhone_11_Pro_Worklist_copy.png/320x480bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/02/c2/26/02c22667-95a5-0041-a20e-870cc6f21afa/Apple_iPhone_11_Pro_Worklist_copy.png/1200x2600bb.png,assets/apple/iphone-08-worklist.png,Worklist,1197,2600,PNG,499603,083e68a7c21c20a1d01252d58607fbe970c9a2b72ddb0eb9d492c7533de0eb06,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,review-required,Promotional composition includes existing device frame and headline; inspect before crop or placement | Apparent patient/study identifiers and/or clinical imagery; reference-only pending specific clearance,See review flags and selection guidance in ASSETS.md
iphone-09,iPhone,screenshot,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/32/31/e9/3231e93f-71d8-82f1-ce26-b4d1f4fda034/Apple_iPhone_11_Pro_Settings_copy.png/320x480bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/32/31/e9/3231e93f-71d8-82f1-ce26-b4d1f4fda034/Apple_iPhone_11_Pro_Settings_copy.png/1200x2600bb.png,assets/apple/iphone-09-settings.png,Settings,1197,2600,PNG,784720,1aea8ed141f27b18c9a341e624d2e952dc56aef73f1d696de942201a7b4b9ae5,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,review-required,Promotional composition includes existing device frame and headline; inspect before crop or placement | Configuration addresses/settings visible; avoid prominent use and retention-default claims,See review flags and selection guidance in ASSETS.md
